股票名称,周期,时间,是否命中,命中策略,策略状态摘要,图
NBIZ,2h,2026-03-08 13:48:04,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(template_miss) | 紫色哭脸:no_hit(template_miss) | 紫色卖出:no_hit(template_miss),
NBIZ,3h,2026-03-08 13:49:32,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(template_miss) | 紫色哭脸:no_hit(template_miss) | 紫色卖出:no_hit(template_miss),
NBIZ,4h,2026-03-08 13:50:36,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(template_miss) | 紫色哭脸:no_hit(template_miss) | 紫色卖出:no_hit(template_miss),
NVDA,1h,2026-03-08 13:51:11,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(red_ratio_low) | 紫色哭脸:no_hit(template_miss) | 紫色卖出:no_hit(template_miss),
NVDA,2h,2026-03-08 13:51:49,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(template_miss) | 紫色哭脸:no_hit(template_miss) | 紫色卖出:no_hit(template_miss),
NVDA,3h,2026-03-08 13:52:17,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(template_miss) | 紫色哭脸:no_hit(template_miss) | 紫色卖出:no_hit(template_miss),
NVDA,4h,2026-03-08 13:53:36,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(template_miss) | 紫色哭脸:no_hit(template_miss) | 紫色卖出:no_hit(template_miss),
OKLO,1h,2026-03-08 13:54:15,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(red_ratio_low) | 紫色哭脸:no_hit(template_miss) | 紫色卖出:no_hit(template_miss),
OKLO,2h,2026-03-08 13:54:49,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(red_ratio_low) | 紫色哭脸:no_hit(template_miss) | 紫色卖出:no_hit(template_miss),
OKLO,3h,2026-03-08 13:55:19,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(red_ratio_low) | 紫色哭脸:no_hit(template_miss) | 紫色卖出:no_hit(template_miss),
OKLO,4h,2026-03-08 13:56:36,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(red_ratio_low) | 紫色哭脸:no_hit(template_miss) | 紫色卖出:no_hit(template_miss),
OKLS,1h,2026-03-08 13:57:23,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(red_ratio_low) | 紫色哭脸:no_hit(template_miss) | 紫色卖出:no_hit(template_miss),
OKLS,2h,2026-03-08 13:58:16,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(red_ratio_low) | 紫色哭脸:no_hit(template_miss) | 紫色卖出:no_hit(template_miss),
OKLS,3h,2026-03-08 13:58:52,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(red_ratio_low) | 紫色哭脸:no_hit(template_miss) | 紫色卖出:no_hit(template_miss),
OKLS,4h,2026-03-08 13:59:45,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(red_ratio_low) | 紫色哭脸:no_hit(template_miss) | 紫色卖出:no_hit(template_miss),
PLTR,1h,2026-03-08 14:01:01,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(red_ratio_low) | 紫色哭脸:no_hit(template_miss) | 紫色卖出:no_hit(template_miss),
PLTR,2h,2026-03-08 14:02:10,否,-,笑笑砖策略:no_hit(pattern_not_met) | 紫抄:no_hit(template_miss) | 买+红砖石:no_hit(template_miss) | 紫色哭脸:no_hit(template_miss) | 紫色卖出:no_hit(template_miss),
